category,demangled_name,mangled_name,kind,module_or_source,address_or_rva,notes
save_load,CAchievementsManager::VerifySavegame,,GPROC32,achievements.obj,0x00402220,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=208
serialization,CGameState::GetServerRand,,GPROC32,ai_foreignminister.obj,0x004311E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=59
frontend_gui,CStandardlistboxItem::HasGUIObject,,GPROC32,buildsettlementview.obj,0x004969F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=49
frontend_gui,TButton::SetEnabled,,GPROC32,buildview.obj,0x00499F30,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=35
serialization,CCurrentGameState::ScopedDisableOfCharacterVassalCaching::~ScopedDisableOfCharacterVassalCaching,,GPROC32,character.obj,0x004B74B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=13
save_load,CGameState::GetSaveGameVersion,,GPROC32,character.obj,0x004B7430,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=120
frontend_gui,CWindowObserverGlue<CCharacterSelectionView>::OnValueChange,,GPROC32,characterselectionview.obj,0x00770230,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CWindowObserverGlue<CCharacterSelectionView>::OnScrollWheel,,GPROC32,characterselectionview.obj,0x0060F8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=35
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::OnRightClick,,GPROC32,characterselectionview.obj,0x006CFDE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::OnClick,,GPROC32,characterselectionview.obj,0x006C91D0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::OnDblClick,,GPROC32,characterselectionview.obj,0x00933DE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::OnDblClick,,GPROC32,characterselectionview.obj,0x006C91B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::OnOver,,GPROC32,characterselectionview.obj,0x008E9FE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::OnDrag,,GPROC32,characterselectionview.obj,0x004A9460,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::OnUp,,GPROC32,characterselectionview.obj,0x009887E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
